strain	species	genus	genomospecies	host	host_type	opine_type	year_isolated	plasmid_class	plasmid_type	ncbi_accession	mlsa_node_id	beast_node_id
Rhizobium rhizogenes H16/79	Rhizobium rhizogenes	Rhizobium	Biovar 2	Rose	Woody	Agrocinopine/Other	1979	Ti	Type Ib	SAMN14165424	H16_79__BV2	H16_79
Rhizobium rhizogenes CG101/95	Rhizobium rhizogenes	Rhizobium	Biovar 2	Grape	Grape (Woody)	NA	1995	NA	None	SAMN14165425	CG101_95__BV2	CG101_95
Agrobacterium rubi W2/73	Agrobacterium rubi	Agrobacterium	Agrobacterium rubi	Euonymus	Woody	Agrocinopine/Other	1973	Ti	Type Ib	SAMN14165629	W2_73__Aru	W2_73
Rhizobium rhizogenes Di1462	Rhizobium rhizogenes	Rhizobium	Biovar 2	Rose	Woody	Nopaline	NA	Ti	Type Ia	SAMN14165426	Di1462__BV2	Di1462
Rhizobium rhizogenes A 6.4	Rhizobium rhizogenes	Rhizobium	Biovar 2	Cherry	Woody	Nopaline	2008	Ti	Type Ia	SAMN14165427	A_6.4__BV2	A_6.4
Agrobacterium tumefaciens LMG 305	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Stonecrop (Sedum)	Herbaceous	Nopaline	1958	Ti	Type Ib	SAMN14165428	LMG_305__BV1	LMG_305
Rhizobium rhizogenes CM79/95	Rhizobium rhizogenes	Rhizobium	Biovar 2	Grape	Grape (Woody)	Nopaline	1995	Ti	Type Ia	SAMN14165429	CM79_95__BV2	CM79_95
Allorhizobium vitis BM37/95	Allorhizobium vitis	Allorhizobium	Biovar 3	Grape	Grape (Woody)	Vitopine/Nopaline	1995	Ti	Type V	SAMN14165430	BM37_95__BV3	BM37_95
Rhizobium rhizogenes J10B/93	Rhizobium rhizogenes	Rhizobium	Biovar 2	Olallieberry	Woody	Nopaline	1993	Ti	Type Ib	SAMN14165431	J10B_93__BV2	J10B_93
Rhizobium rhizogenes R 10.1	Rhizobium rhizogenes	Rhizobium	Biovar 2	Peach	Woody	Nopaline	2009	Ti	Type Ia	SAMN14165432	R_10.1__BV2	R_10.1
Rhizobium rhizogenes N64/94	Rhizobium rhizogenes	Rhizobium	Biovar 2	Raspberry	Woody	Nopaline	1994	Ti	Type Ia	SAMN14165433	N64_94__BV2	N64_94
Rhizobium rhizogenes A 13.1	Rhizobium rhizogenes	Rhizobium	Biovar 2	Cherry	Woody	Nopaline	2009	Ti	Type Ia	SAMN14165434	A_13.1__BV2	A_13.1
Allorhizobium vitis P86/93	Allorhizobium vitis	Allorhizobium	Biovar 3	Grape	Grape (Woody)	Nopaline	1993	Ti	Type IVa	SAMN14165436	P86_93__BV3	P86_93
Allorhizobium vitis T268/95	Allorhizobium vitis	Allorhizobium	Biovar 3	Grape	Grape (Woody)	Vitopine/Nopaline	1995	Ti	Type V	SAMN14165437	T268_95__BV3	T268_95
Rhizobium rhizogenes B131/95	Rhizobium rhizogenes	Rhizobium	Biovar 2	Peach/Almond Rootstock	Woody	Nopaline	1995	Ti	Type Ia	SAMN04901296	B131_95__BV2	B131_95
Rhizobium rhizogenes D108/85	Rhizobium rhizogenes	Rhizobium	Biovar 2	Blueberry	Woody	NA	1985	NA	None	SAMN14165438	D108_85__BV2	D108_85
Rhizobium rhizogenes D1/76	Rhizobium rhizogenes	Rhizobium	Biovar 2	Rose	Woody	Nopaline	1976	Ti	Type Ia	SAMN14165439	D1_76__BV2	D1_76
Neorhizobium sp. AL 9.2.2	Neorhizobium sp.	Neorhizobium	Neorhizobium sp.	Plum	Woody	NA	2008	NA	None	SAMN14165440	AL_9.2.2__	AL_9.2.2
Rhizobium rhizogenes PVM 10.5	Rhizobium rhizogenes	Rhizobium	Biovar 2	Peach	Woody	Nopaline	2009	Ti	Type Ia	SAMN14165441	PVM_10.5__BV2	PVM_10.5
Allorhizobium vitis T60/94	Allorhizobium vitis	Allorhizobium	Biovar 3	Grape	Grape (Woody)	Nopaline	1994	Ti	Type IVa	SAMN14165442	T60_94__BV3	T60_94
Rhizobium rhizogenes U167/95	Rhizobium rhizogenes	Rhizobium	Biovar 2	Grape	Grape (Woody)	NA	1995	NA	None	SAMN14165443	U167_95__BV2	U167_95
Agrobacterium tumefaciens 13-2099-1-2	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Aspen	Woody	Nopaline	2013	Ti	Type Ib	SAMN04901292	13-2099-1-2__BV1	13-2099-1-2
Rhizobium rhizogenes L29/94	Rhizobium rhizogenes	Rhizobium	Biovar 2	Blueberry	Woody	Nopaline	1994	Ti	Type Ia	SAMN14165444	L29_94__BV2	L29_94
Agrobacterium tumefaciens AF82/95	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Lilac	Woody	Octopine/Agropine	1995	Ti	Type II	SAMN14165445	AF82_95__BV1	AF82_95
Rhizobium rhizogenes RO 10.5	Rhizobium rhizogenes	Rhizobium	Biovar 2	Rose	Woody	Nopaline	2009	Ti	Type Ia	SAMN14165446	RO_10.5__BV2	RO_10.5
Rhizobium rhizogenes D2/76	Rhizobium rhizogenes	Rhizobium	Biovar 2	Rose	Woody	Nopaline	1976	Ti	Type Ia	SAMN14165447	D2_76__BV2	D2_76
Rhizobium rhizogenes AL. 21.2	Rhizobium rhizogenes	Rhizobium	Biovar 2	Plum	Woody	Nopaline	2009	Ti	Type Ia	SAMN14165448	AL._21.2__BV2	AL._21.2
Rhizobium rhizogenes R 1.1	Rhizobium rhizogenes	Rhizobium	Biovar 2	Peach	Woody	Nopaline	2008	Ti	Type Ia	SAMN14165449	R_1.1__BV2	R_1.1
Rhizobium rhizogenes D1/94	Rhizobium rhizogenes	Rhizobium	Biovar 2	Grape	Grape (Woody)	Nopaline	1994	Ti	Type Ia	SAMN14165450	D1_94__BV2	D1_94
Agrobacterium tumefaciens 15-1187-1-2a	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Yarrow	Herbaceous	Nopaline/Chrysopine	2015	Ti	Type III	SAMN04901301	15-1187-1-2a__BV1	15-1187-1-2a
Rhizobium rhizogenes B133/95	Rhizobium rhizogenes	Rhizobium	Biovar 2	Peach/Almond Rootstock	Woody	Nopaline	1995	Ti	Type Ia	SAMN04901297	B133_95__BV2	B133_95
Rhizobium rhizogenes D100/85	Rhizobium rhizogenes	Rhizobium	Biovar 2	Blueberry	Woody	NA	1985	NA	None	SAMN14165451	D100_85__BV2	D100_85
Agrobacterium tumefaciens AF52/95	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Lilac	Woody	Octopine/Agropine	1995	Ti	Type II	SAMN14165452	AF52_95__BV1	AF52_95
Rhizobium rhizogenes W 1.1	Rhizobium rhizogenes	Rhizobium	Biovar 2	Plum	Woody	Nopaline	2008	Ti	Type Ia	SAMN14165453	W_1.1__BV2	W_1.1
Agrobacterium tumefaciens G 8.3	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Cherry	Woody	Nopaline	2008	Ti	Type Ia	SAMN14165454	G_8.3__BV1	G_8.3
Allorhizobium vitis T267/94	Allorhizobium vitis	Allorhizobium	Biovar 3	Grape	Grape (Woody)	Nopaline	1994	Ti	Type IVa	SAMN14165455	T267_94__BV3	T267_94
Agrobacterium tumefaciens 15-1187-1-2b	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Yarrow	Herbaceous	Nopaline/Chrysopine	2015	Ti	Type III	SAMN04901302	15-1187-1-2b__BV1	15-1187-1-2b
Agrobacterium tumefaciens N2/73	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Raspberry	Woody	Nopaline	1973	Ti	Type Ia	SAMN04901299	N2_73__BV1	N2_73
Rhizobium rhizogenes L20/94	Rhizobium rhizogenes	Rhizobium	Biovar 2	Blueberry	Woody	NA	1994	NA	None	SAMN14165456	L20_94__BV2	L20_94
Agrobacterium tumefaciens AF1/95	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Lilac	Woody	Octopine/Agropine	1995	Ti	Type II	SAMN14165457	AF1_95__BV1	AF1_95
Rhizobium rhizogenes W 1.4	Rhizobium rhizogenes	Rhizobium	Biovar 2	Plum	Woody	Nopaline	2008	Ti	Type Ia	SAMN14165458	W_1.4__BV2	W_1.4
Agrobacterium tumefaciens LMG 215	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Hop	Herbaceous	NA	1928	NA	None	SAMN06693640	LMG_215__BV1	LMG_215
Allorhizobium vitis T393/94	Allorhizobium vitis	Allorhizobium	Biovar 3	Grape	Grape (Woody)	Nopaline	1994	Ti	Type IVa	SAMN14165459	T393_94__BV3	T393_94
